Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Nehemiah,2,20,"ואשיב אותם דבר ואומר להם אלהי השמים הוא יצליח לנו ואנחנו עבדיו נקום ובנינו ולכם איןחלק וצדקה וזכרון בירושל͏ם&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","I said to them in reply, “The God of Heaven will grant us success—and so we, God’s servants, will start building. But you have no share or claim or stakeastake Lit. “record.” in Jerusalem!”",Ninguno
Nehemiah,3,1,"ויקם אלישיב הכהן הגדול ואחיו הכהנים ויבנו אתשער הצאן המה קדשוהו ויעמידו דלתתיו ועדמגדל המאה קדשוהו עד מגדל חננאל&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Then Eliashib the high priest and his fellow priests set to and rebuilt the Sheep Gate; they consecrated it and set up its doors, consecrating it as far as the Hundred’s Tower, as far as the Tower of Hananel. ",Ninguno
Nehemiah,3,2,"ועלידו בנו אנשי ירחו ועלידו בנה זכור בןאמרי&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Next to him, a [work] party from Jericho built. Next to them,athem Lit. “him.” Zaccur son of Imri. ",Ninguno
Nehemiah,3,3,"ואת שער הדגים בנו בני הסנאה המה קרוהו ויעמידו דלתתיו מנעוליו ובריחיו&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Hassenaah rebuilt the Fish Gate; they roofed it and set up its doors, locks, and bars. ",Ninguno
Nehemiah,3,4,"ועלידם החזיק מרמות בןאוריה בןהקוץ&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;ועלידם החזיק משלם בןברכיה בןמשיזבאל&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;ועלידם החזיק צדוק בןבענא&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Next to them, Meremoth son of Uriah son of Hakkoz repaired; and next to him,bhim Lit. “them.” Meshullam son of Berechiah son of Meshezabel. Next to him,chim Lit. “them.” Zadok son of Baana repaired. ",Ninguno
Nehemiah,3,5,"ועלידם החזיקו התקועים ואדיריהם לאהביאו צורם בעבדת אדניהם&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Next to him,dhim Lit. “them.” the Tekoites repaired, though their nobles would not take upon their shouldersetake upon their shoulders Lit. “bring their neck into.” the work of their lord. ",Ninguno
Nehemiah,3,6,"ואת שער הישנה החזיקו יוידע בןפסח ומשלם בןבסודיה המה קרוהו ויעמידו דלתתיו ומנעליו ובריחיו&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Joiada son of Paseah and Meshullam son of Besodeiah repaired the Jeshanah Gate; they roofed it and set up its doors, locks, and bars. ",Percepción (Yada)
Nehemiah,3,7,"ועלידם החזיק מלטיה הגבעני וידון המרנתי אנשי גבעון והמצפה לכסא פחת עבר הנהר&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Next to them, Melatiah the Gibeonite and Jadon the Meronothite repaired, [with a work] party from Gibeon and Mizpah, under the jurisdictionfunder the jurisdiction Lit. “of the throne”; meaning of Heb. uncertain. of the governor of the province of Beyond the River. ",Ninguno
Nehemiah,3,8,"עלידו החזיק עזיאל בןחרהיה צורפים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;ועלידו החזיק חנניה בןהרקחים ויעזבו ירושל͏ם עד החומה הרחבה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Next to them,gthem Lit. “him.” Uzziel son of Harhaiah, [of the] smiths, repaired. Next to him, Hananiah, ofhof Lit. “son of,” i.e., member of the guild of. the perfumers. They restored Jerusalem as far as the Broad Wall. ",Ninguno
Nehemiah,3,9,"ועלידם החזיק רפיה בןחור שר חצי פלך ירושל͏ם&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Next to them, Rephaiah son of Hur, chief of half the district of Jerusalem, repaired. ",Ninguno
Nehemiah,3,10,"ועלידם החזיק ידיה בןחרומף ונגד ביתו ועלידו החזיק חטוש בןחשבניה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Next to him,ihim Lit. “them.” Jedaiah son of Harumaph repaired in front of his house. Next to him, Hattush son of Hashabneiah repaired. ",Ninguno
