Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Jeremiah,2,28,"ואיה אלהיך אשר עשית לך יקומו אםיושיעוך בעת רעתך כי מספר עריך היו אלהיך יהודה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","And where are those godsYou made for yourself?Let them arise and save you, if they can,In your hour of calamity.For your gods have become, O Judah,As many as your towns!",Ninguno
Jeremiah,2,29,למה תריבו אלי כלכם פשעתם בי נאםיהוה,Why do you call Me to account?You have all rebelled against Me—declares  GOD.,Ninguno
Jeremiah,2,30,לשוא הכיתי אתבניכם מוסר לא לקחו אכלה חרבכם נביאיכם כאריה משחית,To no purpose did I smite your children;They would not accept correction.Your sword has devoured your prophetsLike a ravening lion.,Ninguno
Jeremiah,2,31,הדור אתם ראו דבריהוה המדבר הייתי לישראל אם ארץ מאפליה מדוע אמרו עמי רדנו לואנבוא עוד אליך,"O generation, beholdkO generation, behold Meaning of Heb. uncertain. the word of GOD!Have I been like a desert to Israel,Or like a land of deep gloom?Then why do My people say, “We have broken loose,We will not come to You anymore?”",Ninguno
Jeremiah,2,32,התשכח בתולה עדיה כלה קשריה ועמי שכחוני ימים אין מספר,"Can a maiden forget her jewels,A bride her adornments?Yet My people have forgotten Me—Days without number.",Ninguno
Jeremiah,2,33,"מהתיטבי דרכך לבקש אהבה לכן גם אתהרעות <span class=""mam-kq""><span class=""mam-kq-k"">(למדתי)</span> <span class=""mam-kq-q"">[למדת]</span></span> אתדרכיך","How skillfully you plan your wayTo seek out love!Why, you have even taughtThe worst of women your ways.",Ninguno
Jeremiah,2,34,גם בכנפיך נמצאו דם נפשות אביונים נקיים לאבמחתרת מצאתים כי עלכלאלה,"Moreover, on your garments is foundThe lifeblood of the innocent poor—You did not catch them breaking in.lbreaking in In which case there might have been an excuse for killing them; cf. Exod. 22.1. Yet, despite all these things,mYet, despite all these things Meaning of Heb. uncertain. ",Ninguno
Jeremiah,2,35,ותאמרי כי נקיתי אך שב אפו ממני הנני נשפט אותך עלאמרך לא חטאתי,"You say, “I have been acquitted;Surely, God’s anger has turned away from me.”Lo, I will bring you to judgmentFor saying, “I have not sinned.”",Ninguno
Jeremiah,2,36,מהתזלי מאד לשנות אתדרכך גם ממצרים תבשי כאשרבשת מאשור,"How you cheapen yourself,By changing your course!You shall be put to shame through Egypt,Just as you were put to shame through Assyria.",Ninguno
Jeremiah,2,37,גם מאת זה תצאי וידיך עלראשך כימאס יהוה במבטחיך ולא תצליחי להם,"From this way, too, you will come outWith your hands on your head;nWith your hands on your head A gesture of wild grief; cf. 2 Sam. 13.19. For  GOD has rejected those you trust,You will not prosper with them.",Ninguno
Jeremiah,3,1,לאמר הן ישלח איש אתאשתו והלכה מאתו והיתה לאישאחר הישוב אליה עוד הלוא חנוף תחנף הארץ ההיא ואת זנית רעים רבים ושוב אלי נאםיהוה,"[The word of GOD came to me] as follows: If a man divorces his wife, and she leaves him and gets married to another man, can he ever go back to her? Would not such a land be defiled?aCf. Deut. 24.1–4. Now you have whored with many lovers: can you return to Me?—says GOD.",Ninguno
Jeremiah,3,2,"שאיעיניך עלשפים וראי איפה לא <span class=""mam-kq""><span class=""mam-kq-k"">(שגלת)</span> <span class=""mam-kq-q"">[שכבת]</span></span> עלדרכים ישבת להם כערבי במדבר ותחניפי ארץ בזנותיך וברעתך","Look up to the bare heights, and see:Where have they not lain with you?You waited for them on the roadsideLike a banditbbandit Lit. “Arab.” in the wilderness.And you defiled the landWith your whoring and your debauchery.",Ninguno
Jeremiah,3,3,וימנעו רבבים ומלקוש לוא היה ומצח אשה זונה היה לך מאנת הכלם,"And when showers were withheldAnd the late rains did not come,You had the brazennesscbrazenness Lit. “forehead.” of a streetwalker,You refused to be ashamed.",Ninguno
Jeremiah,3,4,"הלוא מעתה <span class=""mam-kq""><span class=""mam-kq-k"">(קראתי)</span> <span class=""mam-kq-q"">[קראת]</span></span> לי אבי אלוף נערי אתה","Just now you called to Me, “Father!dFather I.e., the One who conveys legitimacy and provides support, in return for loyalty. You are the Companion of my youth.",Ninguno
